,size,max_weight,min_weight,mean_weight,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,compression_factor,top_r,avg_p1_error,relative_p1_error,p2_error
layers.8.self_attn.q_proj.weight,"[4096, 4096]",0.470703125,-0.55859375,8.69E-06,11.97070885,0.624502003,4261.184399,2427,0.592529297,0.33,675,0.010544677,55.50064279,55.45417023
layers.8.self_attn.k_proj.weight,"[4096, 4096]",0.29296875,-0.30859375,2.78E-06,14.27540684,0.643537641,4361.288071,2438,0.595214844,0.33,675,0.011003541,57.6166254,57.90471268
layers.8.self_attn.v_proj.weight,"[4096, 4096]",0.19140625,-0.208007813,2.55E-06,3.374553919,0.410561651,2643.845374,2596,0.633789063,0.33,675,0.007147916,63.65286924,36.95456696
layers.8.self_attn.o_proj.weight,"[4096, 4096]",0.75390625,-0.60546875,-8.22E-07,4.939068317,0.412979245,2630.925896,2601,0.635009766,0.33,675,0.007250484,65.51489988,37.41281891
layers.8.mlp.gate_proj.weight,"[11008, 4096]",0.318359375,-0.390625,-7.65E-06,12.94817829,1.130855799,6840.339342,3262,0.796386719,0.33,985,0.01022025,66.36394847,86.4841156
layers.8.mlp.up_proj.weight,"[11008, 4096]",0.6484375,-0.435546875,1.80E-06,5.374046326,1.094049335,6373.755633,3301,0.805908203,0.33,985,0.009862449,70.11079184,83.31282043
layers.8.mlp.down_proj.weight,"[4096, 11008]",0.76171875,-0.796875,-2.16E-06,7.060575008,1.032915831,6205.106924,3259,0.795654297,0.33,985,0.009350604,66.99827922,79.03972626
layers.9.self_attn.q_proj.weight,"[4096, 4096]",0.44140625,-0.77734375,5.59E-07,12.23181343,0.642280459,4346.131696,2456,0.599609375,0.33,675,0.010974437,56.85922135,57.47952271
layers.9.self_attn.k_proj.weight,"[4096, 4096]",0.263671875,-0.35546875,1.10E-05,14.20785427,0.663313329,4471.022917,2460,0.600585938,0.33,675,0.011377606,57.92552315,59.62212372
layers.9.self_attn.v_proj.weight,"[4096, 4096]",0.203125,-0.247070313,2.66E-06,3.238834381,0.41738081,2697.677114,2590,0.632324219,0.33,675,0.00731016,63.87296925,37.78904724
layers.9.self_attn.o_proj.weight,"[4096, 4096]",0.5078125,-0.546875,3.07E-06,5.123231411,0.420280606,2682.444788,2602,0.635253906,0.33,675,0.00737296,65.17920906,37.97706604
layers.9.mlp.gate_proj.weight,"[11008, 4096]",0.375,-0.357421875,-6.81E-08,13.03291702,1.114997745,6764.813026,3260,0.795898438,0.33,985,0.01008142,66.18927756,85.32233429
layers.9.mlp.up_proj.weight,"[11008, 4096]",0.609375,-0.380859375,-1.53E-06,5.377055645,1.097004175,6404.893105,3297,0.804931641,0.33,985,0.009878939,69.76981433,83.49880219
layers.9.mlp.down_proj.weight,"[4096, 11008]",0.640625,-0.6640625,2.10E-06,7.094153404,1.040867448,6253.416508,3261,0.796142578,0.33,985,0.009425697,67.10146055,79.73578644
layers.10.self_attn.q_proj.weight,"[4096, 4096]",0.462890625,-0.462890625,4.01E-06,12.09219456,0.605999708,4215.034038,2416,0.58984375,0.33,675,0.010347431,53.96282153,54.18225098
layers.10.self_attn.k_proj.weight,"[4096, 4096]",0.29296875,-0.26953125,3.82E-06,14.31129646,0.637884915,4385.977972,2428,0.592773438,0.33,675,0.010927018,55.85820026,57.35147095
layers.10.self_attn.v_proj.weight,"[4096, 4096]",0.259765625,-0.204101563,4.18E-06,3.225467205,0.409909785,2659.686103,2592,0.6328125,0.33,675,0.007152113,62.95262717,36.90791702
layers.10.self_attn.o_proj.weight,"[4096, 4096]",0.404296875,-0.4140625,1.04E-05,4.304773331,0.405991197,2628.068075,2552,0.623046875,0.33,675,0.007138715,63.22115579,36.81292343
layers.10.mlp.gate_proj.weight,"[11008, 4096]",0.373046875,-0.52734375,-1.63E-05,13.19612312,1.099291205,6722.844354,3255,0.794677734,0.33,985,0.00996178,65.846897,84.38536072
layers.10.mlp.up_proj.weight,"[11008, 4096]",0.235351563,-0.392578125,1.61E-06,5.590380669,1.097735763,6456.202449,3296,0.8046875,0.33,985,0.009905512,69.25497761,83.73939514
layers.10.mlp.down_proj.weight,"[4096, 11008]",1.0234375,-0.74609375,9.23E-07,7.071910858,1.04409647,6288.568378,3253,0.794189453,0.33,985,0.009440786,66.65179155,79.99243927
layers.11.self_attn.q_proj.weight,"[4096, 4096]",0.609375,-0.419921875,1.28E-05,11.18149662,0.560673833,3936.459432,2400,0.5859375,0.33,675,0.009468429,52.95389523,49.67672348
layers.11.self_attn.k_proj.weight,"[4096, 4096]",0.271484375,-0.279296875,-8.13E-08,12.93240261,0.57380271,3988.747599,2424,0.591796875,0.33,675,0.009763492,54.77697215,51.16280746
layers.11.self_attn.v_proj.weight,"[4096, 4096]",0.267578125,-0.298828125,-2.57E-06,3.401183128,0.419014513,2739.09572,2566,0.626464844,0.33,675,0.007270521,61.57509536,37.56777573
layers.11.self_attn.o_proj.weight,"[4096, 4096]",0.578125,-0.54296875,-2.47E-06,5.648757458,0.413483799,2700.141454,2530,0.617675781,0.33,675,0.007219533,61.70339699,37.32707596
layers.11.mlp.gate_proj.weight,"[11008, 4096]",0.314453125,-0.40234375,-2.06E-05,13.55577946,1.095817924,6694.243719,3247,0.792724609,0.33,985,0.009942385,65.82592067,84.14528656
layers.11.mlp.up_proj.weight,"[11008, 4096]",0.41796875,-0.423828125,-1.17E-06,5.675954342,1.108569264,6507.155387,3286,0.802246094,0.33,985,0.010003371,69.33101392,84.55259705
layers.11.mlp.down_proj.weight,"[4096, 11008]",0.640625,-0.765625,-2.58E-06,7.464100361,1.063283086,6352.652161,3263,0.796630859,0.33,985,0.009587626,67.23350977,81.24045563
layers.12.self_attn.q_proj.weight,"[4096, 4096]",0.5234375,-0.4609375,8.66E-07,11.80156994,0.615897059,4192.75745,2454,0.599121094,0.33,675,0.010564355,56.72720061,55.26054382
layers.12.self_attn.k_proj.weight,"[4096, 4096]",0.2578125,-0.298828125,3.19E-06,13.59975719,0.633470833,4307.811376,2460,0.600585938,0.33,675,0.0108338,56.86392346,56.66979599
layers.12.self_attn.v_proj.weight,"[4096, 4096]",0.251953125,-0.190429688,-7.42E-07,3.245185614,0.42657128,2753.561853,2591,0.632568359,0.33,675,0.00746499,63.97340268,38.59030151
layers.12.self_attn.o_proj.weight,"[4096, 4096]",0.50390625,-0.51953125,-3.22E-06,4.950929165,0.428400159,2741.534388,2585,0.631103516,0.33,675,0.007531394,64.98909411,38.83817291
layers.12.mlp.gate_proj.weight,"[11008, 4096]",0.35546875,-0.33984375,-2.71E-05,13.06389618,1.095310926,6671.345575,3249,0.793212891,0.33,985,0.009946309,66.18633022,84.16213226
layers.12.mlp.up_proj.weight,"[11008, 4096]",0.24609375,-0.241210938,-2.50E-06,6.004004478,1.115547419,6565.921917,3284,0.801757813,0.33,985,0.01009584,69.32652965,85.31398773
layers.12.mlp.down_proj.weight,"[4096, 11008]",0.6484375,-0.58984375,-1.18E-06,6.818364143,1.073421121,6411.460967,3261,0.796142578,0.33,985,0.009691146,67.38058773,82.11690521
layers.13.self_attn.q_proj.weight,"[4096, 4096]",0.6796875,-0.421875,8.50E-06,12.08737659,0.616433442,4179.190689,2468,0.602539063,0.33,675,0.010554704,57.12806657,55.14486313
layers.13.self_attn.k_proj.weight,"[4096, 4096]",0.30078125,-0.26171875,-1.18E-07,13.83546543,0.644349694,4317.01569,2491,0.608154297,0.33,675,0.011120399,59.43065135,58.13006973
layers.13.self_attn.v_proj.weight,"[4096, 4096]",0.22265625,-0.229492188,-6.35E-06,3.114442587,0.458672851,2915.607033,2629,0.641845703,0.33,675,0.008086389,66.79344252,41.72792816
layers.13.self_attn.o_proj.weight,"[4096, 4096]",0.5078125,-0.462890625,2.83E-06,5.116381168,0.437997282,2819.894751,2571,0.627685547,0.33,675,0.007693958,64.11214645,39.74614716
layers.13.mlp.gate_proj.weight,"[11008, 4096]",0.3671875,-0.31640625,-2.21E-05,13.28913212,1.099028587,6665.040789,3250,0.793457031,0.33,985,0.009982421,66.67285589,84.47132874
layers.13.mlp.up_proj.weight,"[11008, 4096]",0.416015625,-0.431640625,2.01E-06,6.325664043,1.135374546,6646.747116,3289,0.802978516,0.33,985,0.01025747,69.74860769,86.69579315
layers.13.mlp.down_proj.weight,"[4096, 11008]",1.0703125,-0.61328125,-1.06E-07,6.426171303,1.1012007,6499.139543,3277,0.800048828,0.33,985,0.009896287,68.26756218,83.85837555
layers.14.self_attn.q_proj.weight,"[4096, 4096]",0.54296875,-0.5703125,-5.95E-06,11.63124561,0.593697608,4067.804674,2449,0.597900391,0.33,675,0.010070734,54.69983746,52.59825897
layers.14.self_attn.k_proj.weight,"[4096, 4096]",0.25390625,-0.314453125,-6.10E-06,13.66700172,0.608950555,4150.136097,2466,0.602050781,0.33,675,0.010354193,55.50988702,54.02412796
layers.14.self_attn.v_proj.weight,"[4096, 4096]",0.333984375,-0.17578125,-2.36E-06,2.758440018,0.447758436,2850.46102,2617,0.638916016,0.33,675,0.007864138,66.07717709,40.60538101
