,size,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,reconstruction_error
layers.26.self_attn.q_proj.weight,"[4096, 4096]",12.87901878,0.611252904,3930.403517,2530,0.617675781,54.85804367
layers.26.self_attn.k_proj.weight,"[4096, 4096]",13.28798866,0.622958004,3992.687655,2545,0.621337891,56.19087601
layers.26.self_attn.v_proj.weight,"[4096, 4096]",3.640874386,0.626805186,3854.054563,2702,0.659667969,56.26410675
layers.26.self_attn.o_proj.weight,"[4096, 4096]",6.850986004,0.633827031,3865.09087,2723,0.664794922,57.02241898
layers.26.mlp.gate_proj.weight,"[11008, 4096]",11.18066692,1.230348706,7215.750999,3287,0.802490234,93.94252014
layers.26.mlp.up_proj.weight,"[11008, 4096]",5.858986855,1.178964019,6790.470712,3306,0.807128906,89.73579407
layers.26.mlp.down_proj.weight,"[4096, 11008]",5.007257938,1.152816057,6712.192936,3292,0.803710938,87.87306213
layers.27.self_attn.q_proj.weight,"[4096, 4096]",13.17096329,0.679852664,4265.452103,2631,0.642333984,61.24104309
layers.27.self_attn.k_proj.weight,"[4096, 4096]",14.03940868,0.694299817,4333.202264,2642,0.645019531,62.63896179
layers.27.self_attn.v_proj.weight,"[4096, 4096]",3.323970079,0.646795452,3919.617805,2728,0.666015625,58.18652725
layers.27.self_attn.o_proj.weight,"[4096, 4096]",5.648350716,0.641589701,3900.302432,2727,0.665771484,57.6205368
layers.27.mlp.gate_proj.weight,"[11008, 4096]",11.54013824,1.238623023,7237.701594,3294,0.804199219,94.50133514
layers.27.mlp.up_proj.weight,"[11008, 4096]",6.998183727,1.188101172,6831.394918,3312,0.80859375,90.37184143
layers.27.mlp.down_proj.weight,"[4096, 11008]",5.161794186,1.154017329,6737.123919,3294,0.804199219,87.96245575
layers.28.self_attn.q_proj.weight,"[4096, 4096]",12.76785946,0.644669414,4080.956727,2592,0.6328125,58.0197258
layers.28.self_attn.k_proj.weight,"[4096, 4096]",13.52104282,0.662949622,4166.02084,2607,0.636474609,59.74888611
layers.28.self_attn.v_proj.weight,"[4096, 4096]",3.691907644,0.664301574,4034.867995,2723,0.664794922,59.76094055
layers.28.self_attn.o_proj.weight,"[4096, 4096]",6.082360268,0.652261019,3992.597477,2713,0.662353516,58.75554276
layers.28.mlp.gate_proj.weight,"[11008, 4096]",11.48188782,1.23175478,7204.330281,3298,0.805175781,94.00157166
layers.28.mlp.up_proj.weight,"[11008, 4096]",9.042811394,1.197113514,6891.03816,3315,0.809326172,91.00577545
layers.28.mlp.down_proj.weight,"[4096, 11008]",4.942698956,1.175469637,6816.256233,3306,0.807128906,89.52657318
layers.29.self_attn.q_proj.weight,"[4096, 4096]",13.2834959,0.595421314,3849.868441,2548,0.622070313,53.49679947
layers.29.self_attn.k_proj.weight,"[4096, 4096]",14.18039894,0.608428776,3921.876529,2561,0.625244141,54.88690567
layers.29.self_attn.v_proj.weight,"[4096, 4096]",4.772663593,0.659232557,4030.251043,2711,0.661865234,59.4623642
layers.29.self_attn.o_proj.weight,"[4096, 4096]",6.856410027,0.667652428,4056.856007,2722,0.664550781,60.08629608
layers.29.mlp.gate_proj.weight,"[11008, 4096]",12.05681229,1.23339808,7219.138114,3300,0.805664063,94.20063782
layers.29.mlp.up_proj.weight,"[11008, 4096]",11.30586338,1.199037552,6932.488346,3314,0.809082031,91.27449036
layers.29.mlp.down_proj.weight,"[4096, 11008]",4.425448418,1.18860054,6863.020235,3315,0.809326172,90.47311401
layers.30.self_attn.q_proj.weight,"[4096, 4096]",13.09634399,0.6298002,3995.766438,2613,0.637939453,56.63161087
layers.30.self_attn.k_proj.weight,"[4096, 4096]",13.79963875,0.646424115,4084.419755,2622,0.640136719,58.25529099
layers.30.self_attn.v_proj.weight,"[4096, 4096]",3.746246576,0.686939597,4160.283704,2731,0.666748047,61.83959961
layers.30.self_attn.o_proj.weight,"[4096, 4096]",6.860249519,0.684491456,4165.120313,2728,0.666015625,61.69704437
layers.30.mlp.gate_proj.weight,"[11008, 4096]",19.72405052,1.247441292,7320.142289,3299,0.805419922,95.37654877
layers.30.mlp.up_proj.weight,"[11008, 4096]",19.93757629,1.196455598,6960.061898,3311,0.808349609,91.06911469
layers.30.mlp.down_proj.weight,"[4096, 11008]",4.523618698,1.184467912,6832.866323,3320,0.810546875,90.26748657
layers.31.self_attn.q_proj.weight,"[4096, 4096]",15.02593899,0.580200255,3807.425648,2539,0.619873047,51.3944931
layers.31.self_attn.k_proj.weight,"[4096, 4096]",16.38412476,0.610311568,3987.078544,2545,0.621337891,54.29730225
layers.31.self_attn.v_proj.weight,"[4096, 4096]",4.009765625,0.611409068,3746.216802,2707,0.660888672,54.98145294
layers.31.self_attn.o_proj.weight,"[4096, 4096]",10.56890965,0.60537982,3726.950273,2687,0.656005859,54.58535004
layers.31.mlp.gate_proj.weight,"[11008, 4096]",19.99747276,1.274738431,7570.213259,3289,0.802978516,97.68270111
layers.31.mlp.up_proj.weight,"[11008, 4096]",19.93992043,1.208500862,7150.461009,3300,0.805664063,92.28173065
layers.31.mlp.down_proj.weight,"[4096, 11008]",7.831622601,1.153767586,6763.740855,3305,0.806884766,88.38995361
